time/iterations,rollout/ep_len_mean,train/std,train/learning_rate,train/approx_kl,train/clip_fraction,rollout/ep_rew_mean,train/clip_range,train/policy_gradient_loss,train/explained_variance,train/value_loss,train/loss,time/total_timesteps,time/fps,time/time_elapsed,train/n_updates,train/entropy_loss,eval/mean_ep_length,eval/mean_reward
500,873.24,1.3488317728042603,0.00025,0.017046642,0.133074951171875,5715.98380803,0.2,-0.021628480713116006,0.8857553005218506,0.012670717993751168,-0.17405131459236145,8192000,10712,764,4990,-28.460896682739257,,
510,837.62,1.365252137184143,0.00025,0.019155577,0.139154052734375,5482.330780390002,0.2,-0.02086724217515439,0.906473696231842,0.00693947474937886,-0.17486026883125305,8355840,10714,779,5090,-28.650562858581544,,
520,830.89,1.3860938549041748,0.00025,0.019246606,0.137677001953125,5419.9216117900005,0.2,-0.022261287667788565,0.8698233366012573,0.013642501831054688,-0.17655049264431,8519680,10717,794,5190,-28.895589065551757,,
530,855.68,1.406460165977478,0.00025,0.017378014,0.128631591796875,5644.38715974,0.2,-0.019751008553430437,0.8804776668548584,0.010706713912077248,-0.17490597069263458,8683520,10718,810,5290,-29.115099716186524,,
540,795.14,1.4285049438476562,0.00025,0.018157952,0.13890380859375,5262.26826122,0.2,-0.021762927900999783,0.8693311810493469,0.017834736965596676,-0.17714083194732666,8847360,10723,825,5390,-29.36484260559082,,
550,842.53,1.4436795711517334,0.00025,0.018269222,0.12930908203125,5569.57997065,0.2,-0.0225296544842422,0.8591585159301758,0.01787699689157307,-0.1786956638097763,9011200,10728,839,5490,-29.539126300811766,,
560,860.07,1.4588587284088135,0.00025,0.019458067,0.143255615234375,5714.677123799999,0.2,-0.021642867615446447,0.8585301637649536,0.016914358455687763,-0.17784743010997772,9175040,10727,855,5590,-29.69855155944824,,
570,891.06,1.4766016006469727,0.00025,0.017644834,0.125897216796875,5975.579168800002,0.2,-0.021192366047762333,0.9020509719848633,0.007950523914769293,-0.1829349249601364,9338880,10724,870,5690,-29.88270664215088,,
580,850.15,1.4944384098052979,0.00025,0.019101167,0.132354736328125,5753.51968154,0.2,-0.023189967102371156,0.8653662800788879,0.01682037361897528,-0.18240946531295776,9502720,10721,886,5790,-30.065062046051025,,
590,839.61,1.511718511581421,0.00025,0.018018372,0.124224853515625,5709.115970600001,0.2,-0.021146579866763205,0.8917213082313538,0.014013094874098898,-0.1832984834909439,9666560,10724,901,5890,-30.238627338409422,,
600,808.71,1.5299420356750488,0.00025,0.01712397,0.12822265625,5524.574743509998,0.2,-0.0218235602020286,0.8877207040786743,0.023386664502322674,-0.18227548897266388,9830400,10729,916,5990,-30.400830078125,,
610,887.35,1.5460140705108643,0.00025,0.018306192,0.13758544921875,6086.724060920001,0.2,-0.022913946630433203,0.9157425165176392,0.01081829504109919,-0.18782271444797516,9994240,10736,930,6090,-30.55284490585327,,
